id,categoria,familia,especie,nombre_comun,genero,specific_epithet,tag,infraespecie,forma,scientific_name,author
1,EN PELIGRO CRITICO (CR),ACANTHACEAE,Aphelandra cuscoensis Wasshausen,NA,Aphelandra,cuscoensis,NA,NA,NA,Aphelandra cuscoensis,Wasshausen
2,EN PELIGRO CRITICO (CR),ACANTHACEAE,Aphelandra formosa (Humboldt & Bonpland) Ness,NA,Aphelandra,formosa,NA,NA,NA,Aphelandra formosa,(Humboldt & Bonpland) Ness
3,EN PELIGRO CRITICO (CR),ACANTHACEAE,Aphelandra wurdackii Wassh,NA,Aphelandra,wurdackii,NA,NA,NA,Aphelandra wurdackii,Wassh
4,EN PELIGRO CRITICO (CR),ACANTHACEAE,Tetramerium sagasteguianum T.F Daniel,NA,Tetramerium,sagasteguianum,NA,NA,NA,Tetramerium sagasteguianum,T.F Daniel
5,EN PELIGRO CRITICO (CR),AMARYLLIDACEAE,Pucara leucantha Ravenna,NA,Pucara,leucantha,NA,NA,NA,Pucara leucantha,Ravenna
6,EN PELIGRO CRITICO (CR),AMARYLLIDACEAE,Rauhia decora Ravenna,NA,Rauhia,decora,NA,NA,NA,Rauhia decora,Ravenna
7,EN PELIGRO CRITICO (CR),AMARYLLIDACEAE,Rauhia multiflora (Kunth) Ravenna,NA,Rauhia,multiflora,NA,NA,NA,Rauhia multiflora,(Kunth) Ravenna
8,EN PELIGRO CRITICO (CR),AMARYLLIDACEAE,Rauhia staminosa Ravenna,NA,Rauhia,staminosa,NA,NA,NA,Rauhia staminosa,Ravenna
9,EN PELIGRO CRITICO (CR),ANACARDIACEAE,Haplorhus peruviana Engl.,"ccasi, molle macho",Haplorhus,peruviana,NA,NA,NA,Haplorhus peruviana,Engl.
10,EN PELIGRO CRITICO (CR),ANACARDIACEAE,Loxopterygium huasango Spruce ex Engl.,"hualtaco, huasango",Loxopterygium,huasango,NA,NA,NA,Loxopterygium huasango,Spruce ex Engl.
11,EN PELIGRO CRITICO (CR),APIACEAE,Domeykoa amplexicaulis (H.Wolf) Mathias & Constance,NA,Domeykoa,amplexicaulis,NA,NA,NA,Domeykoa amplexicaulis,(H.Wolf) Mathias & Constance
12,EN PELIGRO CRITICO (CR),ARALIACEAE,Aralia soratensis Marchal,q´ello phati,Aralia,soratensis,NA,NA,NA,Aralia soratensis,Marchal
13,EN PELIGRO CRITICO (CR),ARECACEAE,Ceroxylon parvifrons (Engel) H.Wendl,NA,Ceroxylon,parvifrons,NA,NA,NA,Ceroxylon parvifrons,(Engel) H.Wendl
14,EN PELIGRO CRITICO (CR),ARECACEAE,Ceroxylon weberbaueri Burret,NA,Ceroxylon,weberbaueri,NA,NA,NA,Ceroxylon weberbaueri,Burret
15,EN PELIGRO CRITICO (CR),ASTERACEAE,Ambrosia dentata (Cabrera) Dillon,NA,Ambrosia,dentata,NA,NA,NA,Ambrosia dentata,(Cabrera) Dillon
16,EN PELIGRO CRITICO (CR),ASTERACEAE,Ambrosia pannosa Payne,NA,Ambrosia,pannosa,NA,NA,NA,Ambrosia pannosa,Payne
17,EN PELIGRO CRITICO (CR),ASTERACEAE,Arnaldoa macbrideana Ferreyra,NA,Arnaldoa,macbrideana,NA,NA,NA,Arnaldoa macbrideana,Ferreyra
18,EN PELIGRO CRITICO (CR),ASTERACEAE,Arnaldoa weberbaueri (Muschl.) Ferreyra,NA,Arnaldoa,weberbaueri,NA,NA,NA,Arnaldoa weberbaueri,(Muschl.) Ferreyra
19,EN PELIGRO CRITICO (CR),ASTERACEAE,Ascidiogine wurdackii Cuatrec.,NA,Ascidiogine,wurdackii,NA,NA,NA,Ascidiogine wurdackii,Cuatrec.
20,EN PELIGRO CRITICO (CR),ASTERACEAE,Ascidiogyne sanchezvegae Cabrera,NA,Ascidiogyne,sanchezvegae,NA,NA,NA,Ascidiogyne sanchezvegae,Cabrera
21,EN PELIGRO CRITICO (CR),ASTERACEAE,Bishopanthus soliceps H.Rob.,NA,Bishopanthus,soliceps,NA,NA,NA,Bishopanthus soliceps,H.Rob.
22,EN PELIGRO CRITICO (CR),ASTERACEAE,Caxamarca sanchezii M.O.Dillon & Sagast.,NA,Caxamarca,sanchezii,NA,NA,NA,Caxamarca sanchezii,M.O.Dillon & Sagast.
23,EN PELIGRO CRITICO (CR),ASTERACEAE,Chersodoma arequipensis (Cuatrec) Cuatrec.,NA,Chersodoma,arequipensis,NA,NA,NA,Chersodoma arequipensis,(Cuatrec) Cuatrec.
24,EN PELIGRO CRITICO (CR),ASTERACEAE,Chucoa ilicifolia Cabrera,NA,Chucoa,ilicifolia,NA,NA,NA,Chucoa ilicifolia,Cabrera
25,EN PELIGRO CRITICO (CR),ASTERACEAE,Dasyphyllum brevispinum Sagast. & Dillon,NA,Dasyphyllum,brevispinum,NA,NA,NA,Dasyphyllum brevispinum,Sagast. & Dillon
26,EN PELIGRO CRITICO (CR),ASTERACEAE,Dyssodia lopez-mirandae Cabrera,NA,Dyssodia,lopez-mirandae,NA,NA,NA,Dyssodia lopez-mirandae,Cabrera
27,EN PELIGRO CRITICO (CR),ASTERACEAE,Ferreyrella cuatrecasasii R.M. King & H.Rob,NA,Ferreyrella,cuatrecasasii,NA,NA,NA,Ferreyrella cuatrecasasii,R.M. King & H.Rob
28,EN PELIGRO CRITICO (CR),ASTERACEAE,Ferreyrella peruviana S.F Blake,NA,Ferreyrella,peruviana,NA,NA,NA,Ferreyrella peruviana,S.F Blake
29,EN PELIGRO CRITICO (CR),ASTERACEAE,Fulcaldea laurifolia (Humb. & Bonpl.) Poir. Ex Less.,NA,Fulcaldea,laurifolia,NA,NA,NA,Fulcaldea laurifolia,(Humb. & Bonpl.) Poir. Ex Less.
30,EN PELIGRO CRITICO (CR),ASTERACEAE,Gynoxys dilloniana Sagast. & Dillon,NA,Gynoxys,dilloniana,NA,NA,NA,Gynoxys dilloniana,Sagast. & Dillon
31,EN PELIGRO CRITICO (CR),ASTERACEAE,Helogyne hutchisonii R.M King & H.Rob,NA,Helogyne,hutchisonii,NA,NA,NA,Helogyne hutchisonii,R.M King & H.Rob
32,EN PELIGRO CRITICO (CR),ASTERACEAE,Mikania filicifolia B. Robinson,NA,Mikania,filicifolia,NA,NA,NA,Mikania filicifolia,B. Robinson
33,EN PELIGRO CRITICO (CR),ASTERACEAE,Onoseris chrysactinioides Sagast. & Dillon,NA,Onoseris,chrysactinioides,NA,NA,NA,Onoseris chrysactinioides,Sagast. & Dillon
34,EN PELIGRO CRITICO (CR),ASTERACEAE,Pentacalia nunezii H.Rob & Cuatrec.,NA,Pentacalia,nunezii,NA,NA,NA,Pentacalia nunezii,H.Rob & Cuatrec.
35,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio calcicola Meyen &Walp,NA,Senecio,calcicola,NA,NA,NA,Senecio calcicola,Meyen &Walp
36,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio chachaniensis Cuatrec.,NA,Senecio,chachaniensis,NA,NA,NA,Senecio chachaniensis,Cuatrec.
37,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio mollendoensis Cabrera,NA,Senecio,mollendoensis,NA,NA,NA,Senecio mollendoensis,Cabrera
38,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio okopanus Cabrera,NA,Senecio,okopanus,NA,NA,NA,Senecio okopanus,Cabrera
39,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio smithianus Cabrera,NA,Senecio,smithianus,NA,NA,NA,Senecio smithianus,Cabrera
40,EN PELIGRO CRITICO (CR),ASTERACEAE,Senecio yurensis Rusbi,NA,Senecio,yurensis,NA,NA,NA,Senecio yurensis,Rusbi
41,EN PELIGRO CRITICO (CR),ASTERACEAE,Smallanthus glabratus (D.C) H. Rob,NA,Smallanthus,glabratus,NA,NA,NA,Smallanthus glabratus,(D.C) H. Rob
42,EN PELIGRO CRITICO (CR),ASTERACEAE,Bishopanthus soliceps H.Rob.,NA,Bishopanthus,soliceps,NA,NA,NA,Bishopanthus soliceps,H.Rob.
43,EN PELIGRO CRITICO (CR),BATIDACEAE,Batis maritima L.,NA,Batis,maritima,NA,NA,NA,Batis maritima,L.
44,EN PELIGRO CRITICO (CR),BUDDLEJACEAE,Buddleja bullata Kunth,qolle,Buddleja,bullata,NA,NA,NA,Buddleja bullata,Kunth
45,EN PELIGRO CRITICO (CR),BUDDLEJACEAE,Buddleja coriacea Remy,"quichihuayta, kishuar, qolle, safrán",Buddleja,coriacea,NA,NA,NA,Buddleja coriacea,Remy
46,EN PELIGRO CRITICO (CR),BUDDLEJACEAE,Buddleja incana R. & P.,"Kishuar, colle",Buddleja,incana,NA,NA,NA,Buddleja incana,R. & P.
47,EN PELIGRO CRITICO (CR),BUDDLEJACEAE,Buddleja longifolia H. B. K,Kishuar,Buddleja,longifolia,NA,NA,NA,Buddleja longifolia,H. B. K
48,EN PELIGRO CRITICO (CR),BUDDLEJACEAE,Buddleja montana Britton,kishuar,Buddleja,montana,NA,NA,NA,Buddleja montana,Britton
49,EN PELIGRO CRITICO (CR),BURSERACEAE,Bursera graveolens (Kunth) Triana & Planch.,"palo santo, huanckor",Bursera,graveolens,NA,NA,NA,Bursera graveolens,(Kunth) Triana & Planch.
50,EN PELIGRO CRITICO (CR),CAPPARACEAE,Capparis eucalyptifolia Haught,NA,Capparis,eucalyptifolia,NA,NA,NA,Capparis eucalyptifolia,Haught
51,EN PELIGRO CRITICO (CR),CAPPARACEAE,Capparis scabrida Kunth,sapote,Capparis,scabrida,NA,NA,NA,Capparis scabrida,Kunth
52,EN PELIGRO CRITICO (CR),CARICACEAE,Carica candicans Gray,mito,Carica,candicans,NA,NA,NA,Carica candicans,Gray
53,EN PELIGRO CRITICO (CR),CARICACEAE,Carica quercifolia (A.St.Hil) Hieron,calasacha,Carica,quercifolia,NA,NA,NA,Carica quercifolia,(A.St.Hil) Hieron
54,EN PELIGRO CRITICO (CR),CARICACEAE,Carica stipulata V.M. Badillo,NA,Carica,stipulata,NA,NA,NA,Carica stipulata,V.M. Badillo
55,EN PELIGRO CRITICO (CR),CUNONIACEAE,Weinmannia piurensis O. Schmidt,NA,Weinmannia,piurensis,NA,NA,NA,Weinmannia piurensis,O. Schmidt
56,EN PELIGRO CRITICO (CR),EPHEDRACEAE,Ephedra breana Philippi,pinco-pinco,Ephedra,breana,NA,NA,NA,Ephedra breana,Philippi
57,EN PELIGRO CRITICO (CR),EPHEDRACEAE,Ephedra rupestris Benth.,pinco-pinco,Ephedra,rupestris,NA,NA,NA,Ephedra rupestris,Benth.
58,EN PELIGRO CRITICO (CR),EUPHORBIACEAE,Euphorbia apurimacensis Croizat,NA,Euphorbia,apurimacensis,NA,NA,NA,Euphorbia apurimacensis,Croizat
59,EN PELIGRO CRITICO (CR),FABACEAE,Myroxylon peruiferum L.f,bálsamo,Myroxylon,peruiferum,NA,NA,NA,Myroxylon peruiferum,L.f
60,EN PELIGRO CRITICO (CR),FABACEAE,Otholobium mexicanum (L.f) J.W Grimes,NA,Otholobium,mexicanum,NA,NA,NA,Otholobium mexicanum,(L.f) J.W Grimes
61,EN PELIGRO CRITICO (CR),FABACEAE,Otholobium munyensis (J.F Macbride) J.W Grimes,NA,Otholobium,munyensis,NA,NA,NA,Otholobium munyensis,(J.F Macbride) J.W Grimes
62,EN PELIGRO CRITICO (CR),FABACEAE,Weberbauerella brongniartioides Ulbich,NA,Weberbauerella,brongniartioides,NA,NA,NA,Weberbauerella brongniartioides,Ulbich
63,EN PELIGRO CRITICO (CR),FABACEAE,Weberbauerella raimondiana Ferreyra,NA,Weberbauerella,raimondiana,NA,NA,NA,Weberbauerella raimondiana,Ferreyra
64,EN PELIGRO CRITICO (CR),GENTIANACEAE,Gentianella alborosea (Gilg) Fabris,hercampuri,Gentianella,alborosea,NA,NA,NA,Gentianella alborosea,(Gilg) Fabris
65,EN PELIGRO CRITICO (CR),LYTHRACEAE,"Lourtella resinosa Graham, Bass & Tobe",NA,Lourtella,resinosa,NA,NA,NA,Lourtella resinosa,"Graham, Bass & Tobe"
66,EN PELIGRO CRITICO (CR),LYTHRACEAE,Poensia acuminata Lafoensia,NA,Poensia,acuminata,NA,NA,NA,Poensia acuminata,Lafoensia
67,EN PELIGRO CRITICO (CR),MALVACEAE,Abutilon piurense Ulbrich,NA,Abutilon,piurense,NA,NA,NA,Abutilon piurense,Ulbrich
68,EN PELIGRO CRITICO (CR),MALVACEAE,Gossypium raimondii Ulbrich,algodón silvestre,Gossypium,raimondii,NA,NA,NA,Gossypium raimondii,Ulbrich
69,EN PELIGRO CRITICO (CR),MALVACEAE,Nototriche artemisioides Hill,NA,Nototriche,artemisioides,NA,NA,NA,Nototriche artemisioides,Hill
70,EN PELIGRO CRITICO (CR),MALVACEAE,Nototriche longituba Burtt & Hill,NA,Nototriche,longituba,NA,NA,NA,Nototriche longituba,Burtt & Hill
71,EN PELIGRO CRITICO (CR),MALVACEAE,Nototriche lopezii Krapovickas,NA,Nototriche,lopezii,NA,NA,NA,Nototriche lopezii,Krapovickas
72,EN PELIGRO CRITICO (CR),MALVACEAE,Nototriche staffordiae Burtt & Hill,NA,Nototriche,staffordiae,NA,NA,NA,Nototriche staffordiae,Burtt & Hill
73,EN PELIGRO CRITICO (CR),MALVACEAE,Palaua inconspicua I.M. Johnst.,NA,Palaua,inconspicua,NA,NA,NA,Palaua inconspicua,I.M. Johnst.
74,EN PELIGRO CRITICO (CR),MALVACEAE,Tetrasida chachapoyensis (Baker) Fryxell & Fuertes,NA,Tetrasida,chachapoyensis,NA,NA,NA,Tetrasida chachapoyensis,(Baker) Fryxell & Fuertes
75,EN PELIGRO CRITICO (CR),MALVACEAE,Tetrasida serrulata Fryxell & Fuertes,NA,Tetrasida,serrulata,NA,NA,NA,Tetrasida serrulata,Fryxell & Fuertes
76,EN PELIGRO CRITICO (CR),MARTINIACEAE,Proboscidea altheaefolia (Benth) Decne,NA,Proboscidea,altheaefolia,NA,NA,NA,Proboscidea altheaefolia,(Benth) Decne
77,EN PELIGRO CRITICO (CR),MYRTACEAE,Eugenia quebradensis Mc Vaugh,gashmin,Eugenia,quebradensis,NA,NA,NA,Eugenia quebradensis,Mc Vaugh
78,EN PELIGRO CRITICO (CR),MYRTACEAE,Myrcia fallax (Rich) DC,NA,Myrcia,fallax,NA,NA,NA,Myrcia fallax,(Rich) DC
79,EN PELIGRO CRITICO (CR),MYRTACEAE,Myrcianthes discolor (Kunth) Mc. Vaugh,NA,Myrcianthes,discolor,NA,NA,NA,Myrcianthes discolor,(Kunth) Mc. Vaugh
80,EN PELIGRO CRITICO (CR),MYRTACEAE,Myrcianthes ferreyrae (Mc. Vaugh) Mc. Vaugh,NA,Myrcianthes,ferreyrae,NA,NA,NA,Myrcianthes ferreyrae,(Mc. Vaugh) Mc. Vaugh
81,EN PELIGRO CRITICO (CR),PODOCARPACEAE,Podocarpus oleifolius D. Don ex Lamb.,"saucesillo, romerillo",Podocarpus,oleifolius,NA,NA,NA,Podocarpus oleifolius,D. Don ex Lamb.
82,EN PELIGRO CRITICO (CR),PODOCARPACEAE,Podocarpus sprucei Parl.,NA,Podocarpus,sprucei,NA,NA,NA,Podocarpus sprucei,Parl.
83,EN PELIGRO CRITICO (CR),PODOCARPACEAE,Prumnopitys harmsiana (Pilger) de Laubenfels,"romerillo hembra, diablo fuerte",Prumnopitys,harmsiana,NA,NA,NA,Prumnopitys harmsiana,(Pilger) de Laubenfels
84,EN PELIGRO CRITICO (CR),POLEMONIACEAE,Huthia longiflora A. Brand,NA,Huthia,longiflora,NA,NA,NA,Huthia longiflora,A. Brand
85,EN PELIGRO CRITICO (CR),RANUNCULACEAE,Laccopetalum giganteum (Wedd.) Ulbrich.,NA,Laccopetalum,giganteum,NA,NA,NA,Laccopetalum giganteum,(Wedd.) Ulbrich.
86,EN PELIGRO CRITICO (CR),RANUNCULACEAE,Ranunculus macropetalus,NA,Ranunculus,macropetalus,NA,NA,NA,Ranunculus macropetalus,NA
87,EN PELIGRO CRITICO (CR),ROSACEAE,Hesperomeles heterophylla,NA,Hesperomeles,heterophylla,NA,NA,NA,Hesperomeles heterophylla,NA
88,EN PELIGRO CRITICO (CR),ROSACEAE,Kageneckia lanceolata Ruiz & Pav.,"lloque, quisi, rahuac, uritmicuna",Kageneckia,lanceolata,NA,NA,NA,Kageneckia lanceolata,Ruiz & Pav.
89,EN PELIGRO CRITICO (CR),ROSACEAE,Polylepis incana Kunth,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,incana,NA,NA,NA,Polylepis incana,Kunth
90,EN PELIGRO CRITICO (CR),ROSACEAE,Polylepis racemosa Ruiz & Pav.,"q´eñoa, qeuña, queñoa, quiñuar, kcenhua, quinoa, keuña",Polylepis,racemosa,NA,NA,NA,Polylepis racemosa,Ruiz & Pav.
91,EN PELIGRO CRITICO (CR),SOLANACEAE,Browallia acutiloba Sagastegui & D.D Carranza,NA,Browallia,acutiloba,NA,NA,NA,Browallia acutiloba,Sagastegui & D.D Carranza
92,EN PELIGRO CRITICO (CR),SOLANACEAE,Browallia longitubulata S.Leiva,NA,Browallia,longitubulata,NA,NA,NA,Browallia longitubulata,S.Leiva
93,EN PELIGRO CRITICO (CR),SOLANACEAE,Browallia mirabilis Leiva,NA,Browallia,mirabilis,NA,NA,NA,Browallia mirabilis,Leiva
94,EN PELIGRO CRITICO (CR),SOLANACEAE,Iochroma schjellerupii S. Leiva & Quipuscoa,suburrión grande,Iochroma,schjellerupii,NA,NA,NA,Iochroma schjellerupii,S. Leiva & Quipuscoa
95,EN PELIGRO CRITICO (CR),SOLANACEAE,Iochroma nitidum S. Leiva & Quipuscoa,chinchín,Iochroma,nitidum,NA,NA,NA,Iochroma nitidum,S. Leiva & Quipuscoa
96,EN PELIGRO CRITICO (CR),SOLANACEAE,"Iochroma stenanthum S. Leiva, Quipuscoa & Sawyer",NA,Iochroma,stenanthum,NA,NA,NA,Iochroma stenanthum,"S. Leiva, Quipuscoa & Sawyer"
